time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata,
66.361,-0.61,2.91,9.5,0,0,28.63445897,77.36615285

66.421,0.31,2.15,9.04,0,0,28.63445897,77.36615285

66.481,-0.61,3.22,8.89,0,0,28.63445897,77.36615285

66.541,-0.31,3.22,9.5,0,0,28.63445897,77.36615285

66.601,-0.77,2.6,9.5,0,0,28.63445897,77.36615285

66.661,-0.31,2.76,9.5,0,0,28.63445897,77.36615285

66.72,0.15,2.6,9.5,0,0,28.63445897,77.36615285

66.781,0.92,2.76,9.04,0,0,28.63445897,77.36615285

66.841,0.77,3.06,9.5,0,0,28.63445897,77.36615285

66.901,-0.31,2.6,9.5,0,0,28.63445897,77.36615285

66.961,-0.61,2.76,9.35,0,0,28.63445897,77.36615285

67.021,-0.92,2.6,9.19,0,0,28.63445897,77.36615285

67.081,-0.61,3.06,9.04,0,0,28.63445897,77.36615285

67.141,-0.61,3.52,9.5,0,0,28.63445897,77.36615285

67.2,-0.46,3.37,9.5,0,0,28.63445897,77.36615285

67.26,-1.84,2.6,9.04,0,0,28.63445897,77.36615285

67.321,2.3,2.15,9.35,0,0,28.63445897,77.36615285

67.38,0.46,3.98,10.11,0,0,28.63445897,77.36615285

67.44,0.77,3.68,10.88,0,0,28.63445897,77.36615285

67.501,1.53,3.68,7.35,0,0,28.63445897,77.36615285

67.561,1.07,3.83,9.35,0,0,28.63445897,77.36615285

67.621,1.53,3.68,8.73,0,0,28.63445897,77.36615285

67.681,1.53,5.06,8.58,0,0,28.63445897,77.36615285

67.741,1.38,3.83,9.19,0,0,28.63445897,77.36615285

67.801,2.45,3.83,9.81,0,0,28.63445897,77.36615285

67.861,2.3,4.9,6.9,0,0,28.63445897,77.36615285

67.921,1.84,5.21,8.27,0,0,28.63445897,77.36615285

67.981,0.46,6.28,9.04,0,0,28.63445897,77.36615285

68.041,1.07,5.36,7.2,0,0,28.63445897,77.36615285

68.101,0.61,5.21,7.05,0,0,28.63445897,77.36615285

68.16,2.15,5.52,8.27,0,0,28.63445897,77.36615285

68.221,2.76,4.29,4.44,0,0,28.63445897,77.36615285

68.28,0.61,7.05,10.88,0,0,28.63445897,77.36615285

68.341,0.77,4.6,7.97,0,0,28.63445897,77.36615285

68.4,0.77,4.44,9.35,0,0,28.63445897,77.36615285

68.461,0.15,4.6,9.04,0,0,28.63445897,77.36615285

68.52,-0.15,4.75,9.5,0,0,28.63445897,77.36615285

68.581,-0.31,4.29,8.58,0,0,28.63445897,77.36615285

68.641,0.31,4.29,8.12,0,0,28.63445897,77.36615285

68.7,0.31,4.75,9.5,0,0,28.63445897,77.36615285

68.761,-0.15,4.29,8.58,0,0,28.63445897,77.36615285

68.82,-0.15,4.44,8.73,0,0,28.63445897,77.36615285

68.88,-0.15,4.6,8.73,0,0,28.63445897,77.36615285

68.94,-0.15,4.6,8.89,0,0,28.63445897,77.36615285

69,0.15,4.6,8.73,0,0,28.63445897,77.36615285

69.061,0.31,4.29,8.73,0,0,28.63445897,77.36615285

69.121,0.31,4.44,8.73,0,0,28.63445897,77.36615285

69.181,0.31,4.29,8.43,0,0,28.63445897,77.36615285

69.241,0.15,4.44,9.04,0,0,28.63445897,77.36615285

69.3,0.15,4.29,9.19,0,0,28.63445897,77.36615285

69.361,-0.15,4.29,8.58,0,0,28.63445897,77.36615285

69.421,0.31,4.44,8.73,0,0,28.63445897,77.36615285

69.481,0.15,4.44,8.89,0,0,28.63445897,77.36615285

69.541,0.15,4.6,8.89,0,0,28.63445897,77.36615285

69.601,0.31,4.29,8.89,0,0,28.63445897,77.36615285

