time,x-axis,y-axis,z-axis,Event1,Event2, ,
54.814 s,-1.23,1.84,9.19,0,0,28.64549966,77.31796781

54.834 s,-1.23,1.84,9.19,0,0,28.64549966,77.31796781

54.854 s,-1.23,1.84,9.19,0,0,28.64549966,77.31796781

54.874 s,-1.07,1.99,9.19,0,0,28.64549966,77.31796781

54.894 s,-1.07,1.99,9.19,0,0,28.64549966,77.31796781

54.914 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.943 s,-1.23,1.99,9.04,0,0,28.64549966,77.31796781

54.981 s,-1.23,1.69,9.04,0,0,28.64549966,77.31796781

55.014 s,-1.23,1.69,9.04,0,0,28.64549966,77.31796781

55.034 s,-1.23,1.84,9.19,0,0,28.64549966,77.31796781

55.054 s,-1.23,1.84,9.19,0,0,28.64549966,77.31796781

55.074 s,-1.07,1.99,9.04,0,0,28.64549966,77.31796781

55.094 s,-1.07,1.99,9.04,0,0,28.64549966,77.31796781

